Date,Open,High,Low,Close
1972-10-20,0.5975,0.5975,0.5975,0.5975
1972-10-24,0.5961,0.5961,0.5961,0.5961
1972-10-25,0.5976,0.5976,0.5976,0.5976
1972-10-26,0.5972,0.5972,0.5972,0.5972
1972-10-27,0.5973,0.5973,0.5973,0.5973
1972-10-30,0.598,0.598,0.598,0.598
1972-10-31,0.5982,0.5982,0.5982,0.5982
1972-11-01,0.5994,0.5994,0.5994,0.5994
1972-11-02,0.6008,0.6008,0.6008,0.6008
1972-11-03,0.6014,0.6014,0.6014,0.6014
1972-11-06,0.6006,0.6006,0.6006,0.6006
1972-11-08,0.5998,0.5998,0.5998,0.5998
1972-11-09,0.6002,0.6002,0.6002,0.6002
1972-11-10,0.5995,0.5995,0.5995,0.5995
1972-11-13,0.599,0.599,0.599,0.599
1972-11-14,0.5992,0.5992,0.5992,0.5992
1972-11-15,0.5996,0.5996,0.5996,0.5996
1972-11-16,0.5993,0.5993,0.5993,0.5993
1972-11-17,0.5992,0.5992,0.5992,0.5992
1972-11-20,0.6,0.6,0.6,0.6
1972-11-21,0.6006,0.6006,0.6006,0.6006
1972-11-22,0.6009,0.6009,0.6009,0.6009
1972-11-24,0.6012,0.6012,0.6012,0.6012
1972-11-27,0.6031,0.6031,0.6031,0.6031
1972-11-28,0.6041,0.6041,0.6041,0.6041
1972-11-29,0.6062,0.6062,0.6062,0.6062
1972-11-30,0.6073,0.6073,0.6073,0.6073
1972-12-01,0.6084,0.6084,0.6084,0.6084
1972-12-04,0.6079,0.6079,0.6079,0.6079
1972-12-05,0.6085,0.6085,0.6085,0.6085
1972-12-06,0.609,0.609,0.609,0.609
1972-12-07,0.6112,0.6112,0.6112,0.6112
1972-12-08,0.6109,0.6109,0.6109,0.6109
1972-12-11,0.611,0.611,0.611,0.611
1972-12-12,0.6089,0.6089,0.6089,0.6089
1972-12-13,0.6078,0.6078,0.6078,0.6078
1972-12-14,0.6082,0.6082,0.6082,0.6082
1972-12-15,0.6074,0.6074,0.6074,0.6074
1972-12-18,0.607,0.607,0.607,0.607
1972-12-19,0.6063,0.6063,0.6063,0.6063
1972-12-20,0.6049,0.6049,0.6049,0.6049
1972-12-21,0.6051,0.6051,0.6051,0.6051
1972-12-22,0.606,0.606,0.606,0.606
1972-12-26,0.6072,0.6072,0.6072,0.6072
1972-12-27,0.6058,0.6058,0.6058,0.6058
1972-12-28,0.6059,0.6059,0.6059,0.6059
1972-12-29,0.6064,0.6064,0.6064,0.6064
1973-01-02,0.6063,0.6063,0.6063,0.6063
1973-01-03,0.6078,0.6078,0.6078,0.6078
1973-01-04,0.6074,0.6074,0.6074,0.6074
1973-01-05,0.607,0.607,0.607,0.607
1973-01-08,0.6076,0.6076,0.6076,0.6076
1973-01-09,0.6086,0.6086,0.6086,0.6086
1973-01-10,0.609,0.609,0.609,0.609
1973-01-11,0.6077,0.6077,0.6077,0.6077
1973-01-12,0.6078,0.6078,0.6078,0.6078
1973-01-15,0.6074,0.6074,0.6074,0.6074
1973-01-16,0.6067,0.6067,0.6067,0.6067
